Timestamp,Bitcoin,Ethereum,Solana
2026-01-15 21:31:19,96642,3318.25,142.59
2026-01-15 21:32:20,96684,3322.66,142.67
2026-01-15 21:33:22,96548,3321.11,142.78
2026-01-16 00:07:15,8676103,297960,12855.47
2026-01-15 18:53:19,8658425,296548,12806.86
2026-01-15 18:54:21,8660436,296769,12809.06
2026-01-15 18:55:22,8657521,296812,12809.94
2026-01-15 18:56:23,8658288,297069,12811.73
2026-01-15 18:57:23,8662132,297291,12812.98
2026-01-15 18:58:24,8662439,297350,12813.52
2026-01-15 18:59:26,8657507,296980,12811.85
2026-01-15 19:00:27,8657415,297003,12803.75
2026-01-15 19:01:27,8656075,296952,12800.33
2026-01-15 19:02:28,8651179,296861,12794.94
2026-01-15 19:03:31,8642999,296503,12787.58
2026-01-15 19:04:38,8638350,296451,12784.56
